000000..,000001,000002,000003,000004,000005..,000006,000007,400000,800000
000001,000000,000002,000003,000004,000005,000006,000007,400000,800000
000002,000000,000001,000003,000004,000005,000006,000007,400000,800000
000003,000000,000001,000002,000004,000005,000006,000007,400000,800000
000004,000000,000001,000002,000003,000005,000006,000007,400000,800000
000005,000000,000001,000002,000003,000004,000006,000007,400000,800000
000006,000000,000001,000002,000003,000004,000005,000007,400000,800000
# Missing 400000, unexpected c00000
000007,000000,000001,000002,000003,000004,000005,000006,800000,c00000
400000,000000, 000001,000002,000003,000004,000005,000006,000007,c00000
800000,000000,000001,000002,000003,000004,000005,000006,000007,c00000
c00000,400000,800000
